value_en	description_en	codesystem	code	description_code
Ecuador 	Ecuador 	snomedCT	SNOMEDCT:315418002	Ethnic origins in Ecuador (finding)
Albania 	Albania 	snomedCT	SNOMEDCT:315366005	Ethnic origins in Albania (finding)
San Marino 	San Marino 	snomedCT	SNOMEDCT:315512003	Ethnic origins in San Marino (finding)
Equatorial Guinea 	Equatorial Guinea 	snomedCT	SNOMEDCT:315422007	Ethnic origins in Equatorial Guinea (finding)
Northern Ireland 	Northern Ireland 	snomedCT	SNOMEDCT:315493007	Ethnic origins in Northern Ireland (finding)
Democratic People's Republic of Korea 	Democratic People's Republic of Korea 	snomedCT	SNOMEDCT:315413006	Ethnic origins in Democratic People's Republic of Korea (finding)
Singapore 	Singapore 	snomedCT	SNOMEDCT:315519007	Ethnic origins in Singapore (finding)
Liberia 	Liberia 	snomedCT	SNOMEDCT:315465008	Ethnic origins in Liberia (finding)
Wales 	Wales 	snomedCT	SNOMEDCT:315560000	Ethnic origins in Wales (finding)
Burundi 	Burundi 	snomedCT	SNOMEDCT:315395001	Ethnic origins in Burundi (finding)
Oman 	Oman 	snomedCT	SNOMEDCT:315495000	Ethnic origins in Oman (finding)
Rwanda 	Rwanda 	snomedCT	SNOMEDCT:315511005	Ethnic origins in Rwanda (finding)
Belorussia 	Belorussia 	snomedCT	SNOMEDCT:315383001	Ethnic origins in Belorussia (finding)
Puerto Rico 	Puerto Rico 	snomedCT	SNOMEDCT:315505007	Ethnic origins in Puerto Rico (finding)
Fiji 	Fiji 	snomedCT	SNOMEDCT:315425009	Ethnic origins in Fiji (finding)
Kiribati 	Kiribati 	snomedCT	SNOMEDCT:315457005	Ethnic origins in Kiribati (finding)
Turkey 	Turkey 	snomedCT	SNOMEDCT:315547006	Ethnic origins in Turkey (finding)
Senegal 	Senegal 	snomedCT	SNOMEDCT:315516000	Ethnic origins in Senegal (finding)
Guinea Bissau 	Guinea Bissau 	snomedCT	SNOMEDCT:315436002	Ethnic origins in Guinea Bissau (finding)
Austria 	Austria 	snomedCT	SNOMEDCT:315375007	Ethnic origins in Austria (finding)
Mozambique 	Mozambique 	snomedCT	SNOMEDCT:315484006	Ethnic origins in Mozambique (finding)
Chad 	Chad 	snomedCT	SNOMEDCT:315401001	Ethnic origins in Chad (finding)
Armenia 	Armenia 	snomedCT	SNOMEDCT:315373000	Ethnic origins in Armenia (finding)
Botswana 	Botswana 	snomedCT	SNOMEDCT:315388005	Ethnic origins in Botswana (finding)
Bulgaria 	Bulgaria 	snomedCT	SNOMEDCT:315392003	Ethnic origins in Bulgaria (finding)
Ghana 	Ghana 	snomedCT	SNOMEDCT:315432000	Ethnic origins in Ghana (finding)
Barbados 	Barbados 	snomedCT	SNOMEDCT:315380003	Ethnic origins in Barbados (finding)
Chechnya 	Chechnya 	snomedCT	SNOMEDCT:315402008	Ethnic origins in Chechnya (finding)
Slovakia 	Slovakia 	snomedCT	SNOMEDCT:315520001	Ethnic origins in Slovakia (finding)
Mauritania 	Mauritania 	snomedCT	SNOMEDCT:315477003	Ethnic origins in Mauritania (finding)
Andorra 	Andorra 	snomedCT	SNOMEDCT:315368006	Ethnic origins in Andorra (finding)
Ireland 	Ireland 	snomedCT	SNOMEDCT:315448004	Ethnic origins in Ireland (finding)
Republic of Ireland 	Republic of Ireland 	snomedCT	SNOMEDCT:315507004	Ethnic origins in Republic of Ireland (finding)
Italy 	Italy 	snomedCT	SNOMEDCT:315450007	Ethnic origins in Italy (finding)
Thailand 	Thailand 	snomedCT	SNOMEDCT:315540008	Ethnic origins in Thailand (finding)
India 	India 	snomedCT	SNOMEDCT:315444002	Ethnic origins in India (finding)
Tajikistan 	Tajikistan 	snomedCT	SNOMEDCT:315538003	Ethnic origins in Tajikistan (finding)
Pakistan 	Pakistan 	snomedCT	SNOMEDCT:315496004	Ethnic origins in Pakistan (finding)
Palestine 	Palestine 	snomedCT	SNOMEDCT:315497008	Ethnic origins in Palestine (finding)
Swaziland 	Swaziland 	snomedCT	SNOMEDCT:315533007	Ethnic origins in Swaziland (finding)
Ethiopia 	Ethiopia 	snomedCT	SNOMEDCT:315424008	Ethnic origins in Ethiopia (finding)
Yugoslavia 	Yugoslavia 	snomedCT	SNOMEDCT:315562008	Ethnic origins in Yugoslavia (finding)
Portugal 	Portugal 	snomedCT	SNOMEDCT:315504006	Ethnic origins in Portugal (finding)
Togo 	Togo 	snomedCT	SNOMEDCT:315543005	Ethnic origins in Togo (finding)
Japan 	Japan 	snomedCT	SNOMEDCT:315453009	Ethnic origins in Japan (finding)
Gambia 	Gambia 	snomedCT	SNOMEDCT:315429003	Ethnic origins in Gambia (finding)
Guinea Republic 	Guinea Republic 	snomedCT	SNOMEDCT:315437006	Ethnic origins in Guinea Republic (finding)
Iraq 	Iraq 	snomedCT	SNOMEDCT:315447009	Ethnic origins in Iraq (finding)
Vanuatu 	Vanuatu 	snomedCT	SNOMEDCT:315556003	Ethnic origins in Vanuatu (finding)
Bolivia 	Bolivia 	snomedCT	SNOMEDCT:315386009	Ethnic origins in Bolivia (finding)
Cape Verde Islands 	Cape Verde Islands 	snomedCT	SNOMEDCT:315399007	Ethnic origins in Cape Verde Islands (finding)
Lesotho 	Lesotho 	snomedCT	SNOMEDCT:315464007	Ethnic origins in Lesotho (finding)
Dominican Republic 	Dominican Republic 	snomedCT	SNOMEDCT:315416003	Ethnic origins in Dominican Republic (finding)
Sao Tome and Principe 	Sao Tome and Principe 	snomedCT	SNOMEDCT:315513008	Ethnic origins in Sao Tome and Principe (finding)
Monaco 	Monaco 	snomedCT	SNOMEDCT:315481003	Ethnic origins in Monaco (finding)
Slovenia 	Slovenia 	snomedCT	SNOMEDCT:315521002	Ethnic origins in Slovenia (finding)
East Timor 	East Timor 	snomedCT	SNOMEDCT:315417007	Ethnic origins in East Timor (finding)
France 	France 	snomedCT	SNOMEDCT:315427001	Ethnic origins in France (finding)
Mexico 	Mexico 	snomedCT	SNOMEDCT:315479000	Ethnic origins in Mexico (finding)
Brazil 	Brazil 	snomedCT	SNOMEDCT:315389002	Ethnic origins in Brazil (finding)
Cambodia 	Cambodia 	snomedCT	SNOMEDCT:315396000	Ethnic origins in Cambodia (finding)
Solomon Islands 	Solomon Islands 	snomedCT	SNOMEDCT:315522009	Ethnic origins in Solomon Islands (finding)
Ukraine 	Ukraine 	snomedCT	SNOMEDCT:315552001	Ethnic origins in Ukraine (finding)
Brunei 	Brunei 	snomedCT	SNOMEDCT:315391005	Ethnic origins in Brunei (finding)
Liechtenstein 	Liechtenstein 	snomedCT	SNOMEDCT:315467000	Ethnic origins in Liechtenstein (finding)
