codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_2002180	obsolete central nucleus of ventral telencephalon	obsolete central nucleus of ventral telencephalon	obsolete central nucleus of ventral telencephalon
obo	obo:UBERON_4000074	palaeoniscoid scale	palaeoniscoid scale	palaeoniscoid scale
obo	obo:UBERON_0001286	Bowman's space	Bowman's space	Bowman's space
obo	obo:UBERON_0019319	exocrine gland of integumental system	exocrine gland of integumental system	exocrine gland of integumental system
obo	obo:UBERON_2000438	parhypural	parhypural	parhypural
obo	obo:UBERON_0013189	junk chamber	junk chamber	junk chamber
obo	obo:UBERON_2000480	caudal octavolateralis nucleus	caudal octavolateralis nucleus	caudal octavolateralis nucleus
obo	obo:UBERON_5111984	pedal digit 6 digitopodial skeleton	pedal digit 6 digitopodial skeleton	pedal digit 6 digitopodial skeleton
obo	obo:UBERON_0012286	hemisphere of embryo	hemisphere of embryo	hemisphere of embryo
obo	obo:UBERON_0003447	digit nerve of manus	digit nerve of manus	digit nerve of manus
obo	obo:UBERON_0005147	metanephric renal vesicle	metanephric renal vesicle	metanephric renal vesicle
obo	obo:UBERON_3010319	obsolete melanocyte	obsolete melanocyte	obsolete melanocyte
obo	obo:UBERON_0002544	digit	digit	digit
obo	obo:UBERON_0011844	duct of areolar gland	duct of areolar gland	duct of areolar gland
obo	obo:UBERON_0018295	preprotocrista	preprotocrista	preprotocrista
obo	obo:UBERON_0013544	Brodmann (1909) area 13	Brodmann (1909) area 13	Brodmann (1909) area 13
obo	obo:UBERON_0001135	smooth muscle tissue	smooth muscle tissue	smooth muscle tissue
obo	obo:UBERON_0003165	obsolete cibarium	obsolete cibarium	obsolete cibarium
obo	obo:UBERON_0015052	femur endochondral element	femur endochondral element	femur endochondral element
obo	obo:NCBITaxon_9722	Odontoceti	Odontoceti	Odontoceti
obo	obo:UBERON_0003329	submucosa of anal canal	submucosa of anal canal	submucosa of anal canal
obo	obo:UBERON_3000907	eminentia arcuata	eminentia arcuata	eminentia arcuata
obo	obo:UBERON_0010707	appendage girdle complex	appendage girdle complex	appendage girdle complex
obo	obo:UBERON_4200190	zygosphene	zygosphene	zygosphene
obo	obo:UBERON_0007416	cerebellar peduncle	cerebellar peduncle	cerebellar peduncle
obo	obo:UBERON_0005716	UBERON_0005716	UBERON_0005716	UBERON_0005716
obo	obo:UBERON_0008435	vertebral arch of sacral segment	vertebral arch of sacral segment	vertebral arch of sacral segment
obo	obo:UBERON_0014610	thoracic spinal cord ventral horn	thoracic spinal cord ventral horn	thoracic spinal cord ventral horn
obo	obo:UBERON_0003681	masticatory muscle	masticatory muscle	masticatory muscle
obo	obo:UBERON_0011159	primary subdivision of cranial skeletal system	primary subdivision of cranial skeletal system	primary subdivision of cranial skeletal system
obo	obo:UBERON_0000962	nerve of cervical vertebra	nerve of cervical vertebra	nerve of cervical vertebra
obo	obo:UBERON_0006284	early prosencephalic vesicle	early prosencephalic vesicle	early prosencephalic vesicle
obo	obo:UBERON_0001981	blood vessel	blood vessel	blood vessel
obo	obo:UBERON_0011962	transverse tarsal joint	transverse tarsal joint	transverse tarsal joint
